artist_ids,popularity
3nlpTZci9O5W8RsNoNH559,74
38EmEgXkgK51MT2tPY0EoC,74
0UWZUmn7sybxMCqrw9tGa7,74
5JZ7CnR6gTvEMKX4g70Amv,74
4wLXwxDeWQ8mtUIRPxGiD6,74
61JrslREXq98hurYL2hYoc,74
3ipn9JLAPI5GUEo4y4jcoi,74
3tVQdUvClmAT7URs9V3rsp,74
2hejA1Dkf8v8R0koF44FvW,74
15iVAtD3s3FsQR4w1v6M0P,74
0epOFNiUfyON9EYx7Tpr6V,74
6zFYqv1mOsgBRQbae3JJ9e,74
1moxjboGR7GNWYIMWsRjgG,74
4S9EykWXhStSc15wEx8QFK,74
2UMj7NCbuqy1yUZmiSYGjJ,74
5ZsFI1h6hIdQRw2ti0hz81,74
5IH6FPUwQTxPSXurCrcIov,74
1wxPItEzr7U7rGSMPqZ25r,74
5LfGQac0EIXyAN8aUwmNAQ,74
0c173mlxpT3dSFRgMO8XPh,74
02kJSzxNuaWGqwubyUba0Z,74
3E6xrwgnVfYCrCs0ePERDz,74
6QtgPSJPSzcnn7dPZ4VINp,74
1Hsdzj7Dlq2I7tHP7501T4,74
3hYtANQYrE6pd2PbtEyTIy,74
6XpaIBNiVzIetEPCWDvAFP,74
1tqysapcCh1lWEAc9dIFpa,74
5NGO30tJxFlKixkPSgXcFE,74
1Oa0bMld0A3u5OTYfMzp5h,74
4bw2Am3p9ji3mYsXNXtQcd,74
6deZN1bslXzeGvOLaLMOIF,74
1z7b1Pr1rSlvWRzsW3HOrS,74
5tQMB0cuNXdCtzovGt55uD,74
4PPoI9LuYeFX8V674Z1R6l,74
3CDoRporvSjdzTrm99a3gi,74
2jw70GZXlAI8QzWeY2bgRc,74
7pbDxGE6nQSZVfiFdq9lOL,73
0MHgLfmQdutffmvWe5XBTN,73
165ZgPlLkK7bf5bDoFc6Sb,73
0p4nmQO2msCgU4IF37Wi3j,73
2K5nCggbhSZ00YCYP5qkZS,73
6lcwlkAjBPSKnFBZjjZFJs,73
0BvkDsjIUla7X0k6CSWh1I,73
1AgAVqo74e2q4FVvg0xpT7,73
0Dvx6p8JDyzeOPGmaCIH1L,73
25uiPmTg16RbhZWAqwLBy5,73
12Chz98pHFMPJEknJQMWvI,73
1cYhx7ZOhYoVmnDPb9KMwo,73
5rSXSAkZ67PYJSvpUpkOr7,73
60d24wfXkVzDSfLS6hyCjZ,73
1SJOL9HJ08YOn92lFcYf8a,73
4lxfqrEsLX6N1N4OCSkILp,73
3Z02hBLubJxuFJfhacLSDc,73
00XhexlJEXQstHimpZN910,73
0WwSkZ7LtFUFjGjMZBMt6T,73
3Xt3RrJMFv5SZkCfUE8C1J,73
3tJnB0s6c3oXPq1SCCavnd,73
3RtNN1VnooWEn3KQk03DUL,73
3MHaV05u0io8fQbZ2XPtlC,73
1aS5tqEs9ci5P9KD9tZWa6,73
2IUtwMti1OiT3lkW6RubgH,73
2cFrymmkijnjDg9SS92EPM,73
7CyeXFnOrfC1N6z4naIpgo,73
59jlthNnbmim5l9tmNA7se,73
687cZJR45JO7jhk1LHIbgq,73
6s22t5Y3prQHyaHWUN1R1C,73
77tT1kLj6mCWtFNqiOmP9H,73
5AZuEF0feCXMkUCwQiQlW7,73
6cEuCEZu7PAE9ZSzLLc2oQ,73
7cjh6y0V9SsyCrWSXTzwOs,73
2pAWfrd7WFF3XhVt9GooDL,73
5v8jlSmAQfrkTjAlpUfWtu,73
1GKIlPFdcewHtpDVCQ8zmJ,73
1AL2GKpmRrKXkYIcASuRFa,73
4yiQZ8tQPux8cPriYMWUFP,73
6ydoSd3N2mwgwBHtF6K7eX,73
6sq1yF0OZEWA4xoXVKW1L9,73
3GBPw9NK25X1Wt2OUvOwY3,73
4xRYI6VqpkE3UwrDrAZL8L,73
2MRBDr0crHWE5JwPceFncq,73
6Q192DXotxtaysaqNPy5yR,73
5sUrlPAHlS9NEirDB8SEbF,73
2wUjUUtkb5lvLKcGKsKqsR,73
4x1nvY2FN8jxqAFA0DA02H,73
3RNrq3jvMZxD9ZyoOZbQOD,73
5nP8x4uEFjAAmDzwOEc9b8,73
7Ey4PD4MYsKc5I2dolUwbH,73
0y59o4v8uw5crbN9M3JiL1,73
4x1nvY2FN8jxqAFA0DA02H,73
4yvcSjfu4PC0CYQyLy4wSq,73
3tJoFztHeIJkJWMrx0td2f,73
4mN0qcMxWX8oToqfDPM5yV,73
0SfsnGyD8FpIN4U4WCkBZ5,73
7EQ0qTo7fWT7DPxmxtSYEc,73
3Y7RZ31TRPVadSFVy1o8os,73
20sxb77xiYeusSH8cVdatc,73
6zLBxLdl60ekBLpawtT63I,73
2HcwFjNelS49kFbfvMxQYw,72
762310PdDnwsDxAQxzQkfX,72
1HBjj22wzbscIZ9sEb5dyf,72
67MNhiAICFY6Pwc2YxCO0K,72
0I6yADrmeyvw66g7yjkqIF,72
7K78lVZ8XzkjfRSI7570FF,72
6AMd49uBDJfhf30Ak2QR5s,72
4IVAbR2w4JJNJDDRFP3E83,72
7K78lVZ8XzkjfRSI7570FF,72
2NoJ7NuNs9nyj8Thoh1kbu,72
1cNDP5yjU5vjeR8qMf4grg,72
0ZED1XzwlLHW4ZaG4lOT6m,72
2gBjLmx6zQnFGQJCAQpRgw,72
3Mcii5XWf6E0lrY3Uky4cA,72
5yxyJsFanEAuwSM5kOuZKc,72
4F4pp8NUW08JuXwnoxglpN,72
5v2WhpA59TJSdPh7LCx1lN,72
2xiIXseIJcq3nG7C8fHeBj,72
6uRJnvQ3f8whVnmeoecv5Z,72
4OBJLual30L7gRl5UkeRcT,72
5t28BP42x2axFnqOOMg3CM,72
1w5Kfo2jwwIPruYS2UWh56,72
3hv9jJF3adDNsBSIQDqcjp,72
1UTPBmNbXNTittyMJrNkvw,72
1z4g3DjTBBZKhvAroFlhOM,72
3e7awlrlDSwF3iM0WBjGMp,72
5M9Bb4adKAgrOFOhc05Y50,72
3koiLjNrgRTNbOwViDipeA,72
1pgDilWYDWLoOgGjf1iHNu,72
19eLuQmk9aCobbVDHc6eek,72
1X6ORK7IekgmyjV6IFPszP,72
5O8cudluftNZ6PCwRzvYxo,72
3oDbviiivRWhXwIE8hxkVV,72
1G9G7WwrXka3Z1r7aIDjI7,72
2qxJFvFYMEDqd7ui6kSAcq,72
2Kx7MNY7cI1ENniW7vT30N,72
4AVFqumd2ogHFlRbKIjp1t,72
61qDotnjM0jnY5lkfOP7ve,72
5BcAKTbp20cv7tC5VqPFoC,72
4bthk9UfsYUYdcFyqxmSUU,72
1EXjXQpDx2pROygh8zvHs4,72
7F2utINZ6tSokSiZTQBE27,72
4bL2B6hmLlMWnUEZnorEtG,72
6vXTefBL93Dj5IqAWq6OTv,72
2QWIScpFDNxmS6ZEMIUvgm,72
26T3LtbuGT1Fu9m0eRq5X3,72
4RVnAU35WRWra6OZ3CbbMA,72
3m5qlPf2OkihLz3dRYnkPA,72
32vWCbZh0xZ4o9gkz4PsEU,72
5xd2Tg7Zo8755eCy8Gxkp8,72
4boI7bJtmB1L3b1cuL75Zr,72
4NJhFmfw43RLBLjQvxDuRS,72
2qk9voo8llSGYcZ6xrBzKx,72
0jdNdfi4vAuVi7a6cPDFBM,72
2UwqpfQtNuhBwviIC0f2ie,72
